"filename", "language", "C++", "comment", "blank", "total"
"c:\Projects\Penguine\penguine_core\include\app.h", "C++", 24, 0, 7, 31
"c:\Projects\Penguine\penguine_core\include\entity\tickable.h", "C++", 9, 0, 2, 11
"c:\Projects\Penguine\penguine_core\include\entity\viewable.h", "C++", 9, 0, 2, 11
"c:\Projects\Penguine\penguine_core\include\event.h", "C++", 15, 0, 6, 21
"c:\Projects\Penguine\penguine_core\include\global.h", "C++", 23, 0, 6, 29
"c:\Projects\Penguine\penguine_core\include\resource.h", "C++", 12, 0, 5, 17
"c:\Projects\Penguine\penguine_core\include\scene.h", "C++", 16, 0, 5, 21
"c:\Projects\Penguine\penguine_core\include\window.h", "C++", 19, 0, 2, 21
"Total", "-", 127, 0, 35, 162
